"","datasetID","startYear","endYear","samplingPeriodID","scalingID","scientificName","jcStatistic","jcExpectation","jcVariance","jcPval","jcZScore","jcDifference","moransI","moransIPval","occCells","occArea","occCroppedArea","totalCells","totalArea","totalCroppedArea","percentageOcc"
"1","Czechia",1985,1989,"1","1","Phylloscopus trochilus",2256,2243.66074421723,17.7365253530443,0.00169528568465161,2.92991279862364,0.0200312593876126,0.054310322613894,0.00275570990486635,616,82299.0488864496,77056.4463428445,628,83907.508527584,78308.8064501954,98.09
"2","Czechia",1985,1989,"1","1","Turdus pilaris",2003,1988.8769694938,68.0378805906512,0.0434306291678778,1.71219217869631,0.0243500525968998,0.0972557471264368,1.0238216019445e-06,580,77504.7679241265,72465.5285456493,628,83907.508527584,78308.8064501954,92.36
"3","Czechia",1985,1989,"1","1","Cinclus cinclus",1088,898.494803888703,213.265947472421,8.30636116633911e-39,12.9765834608363,0.485910759259736,0.345493428140487,9.31946246227625e-62,390,52106.6632675343,48751.298365775,628,83907.508527584,78308.8064501954,62.1
"4","Czechia",1985,1989,"1","1","Saxicola rubetra",1785,1743.01240362052,113.801144404337,4.14370435404875e-05,3.93593301858451,0.0773252235349609,0.146870921480931,6.2496846473717e-13,543,72553.2420302332,67962.0832430171,628,83907.508527584,78308.8064501954,86.46
"5","Czechia",1985,1989,"1","1","Alauda arvensis",2324,2324.57324840764,1.49304231442511,0.680516889029545,-0.469144683252196,-0.000914271782525233,-0.00168983063719906,0.687568364225751,627,83776.3804420607,78177.6790854767,628,83907.508527584,78308.8064501954,99.84
"6","Czechia",1985,1989,"1","1","Corvus corone",2081,2065.09889373114,53.1967641096562,0.0146234778316737,2.1801417523873,0.0269054251588101,0.0348257975161528,0.0396179383569593,591,78978.3502605839,73985.9807814953,628,83907.508527584,78308.8064501954,94.11
"7","Czechia",1985,1989,"1","1","Spinus spinus",1338,1250.46597385183,187.484124746174,8.14098871713755e-11,6.39285206354011,0.19029136119168,0.217571293009958,7.19344446945719e-26,460,61436.4825205458,57232.3521635628,628,83907.508527584,78308.8064501954,73.25
"8","Czechia",1985,1989,"1","1","Erithacus rubecula",2301,2294.98469102693,7.43894660379738,0.0137103759346711,2.20547540436491,0.0096553916100639,-0.00670717725292363,0.607066496375469,623,83244.9953734393,77813.9061642031,628,83907.508527584,78308.8064501954,99.2
"9","Czechia",1985,1989,"1","1","Dendrocopos major",2288,2287.61716392893,8.91863945871592,0.448998209054688,0.12819277436995,0.000615492075674684,-0.00941280048997091,0.658022929177424,622,83108.7228208415,77585.8792919996,628,83907.508527584,78308.8064501954,99.04
"10","Czechia",1985,1989,"1","1","Serinus serinus",2298,2294.98469102693,7.43894660379738,0.134461932704865,1.10554417178548,0.00483998230027227,-0.00791485133379194,0.631512039182396,623,83240.9623055047,77807.7781105738,628,83907.508527584,78308.8064501954,99.2
"11","Czechia",1985,1989,"1","1","Fringilla coelebs",2329,2324.57324840764,1.49304231442511,0.000145693320438732,3.62283949844685,0.00706020987616673,-0.000945545682387765,0.000412078545970653,627,83776.3803184875,78283.7360836506,628,83907.508527584,78308.8064501954,99.84
"12","Czechia",1985,1989,"1","1","Hirundo rustica",NA,NA,NA,NA,NA,NA,NA,NA,628,83907.508527584,78308.8064501954,628,83907.508527584,78308.8064501954,100
"13","Czechia",1985,1989,"1","1","Phylloscopus sibilatrix",1875,1834.13521063806,97.2959179519676,1.71488561452623e-05,4.14287619171892,0.0733658695905564,0.115241448692153,1.11182891981782e-08,557,74445.3474383528,69946.1633948751,628,83907.508527584,78308.8064501954,88.69
"14","Czechia",1985,1989,"1","1","Chloris chloris",2328,2324.57324840764,1.49304231442511,0.00252018258502308,2.80444266210704,0.00546531354442825,-0.0010119996962102,0.00133985919565788,627,83773.6403648836,78199.2672283619,628,83907.508527584,78308.8064501954,99.84
"15","Czechia",1985,1989,"1","1","Garrulus glandarius",2254,2236.37613141133,19.1957347011194,2.87886293403871e-05,4.0225261524378,0.0286566968921451,0.0119793621013133,0.250926926516617,615,82168.9999642558,77082.3785731546,628,83907.508527584,78308.8064501954,97.93
"16","Czechia",1985,1989,"1","1","Cyanistes caeruleus",2312,2302.3640630238,5.95649727899581,3.93715024542311e-05,3.94819393441221,0.0154422066926259,-0.00467986874236874,0.567227600241959,624,83375.0436065296,77995.6095443927,628,83907.508527584,78308.8064501954,99.36
"17","Czechia",1985,1989,"1","1","Regulus regulus",2007,1954.70443624986,74.610319907777,7.05058651193115e-10,6.05432036579574,0.0909488065219821,0.195295245908043,1.711133533924e-21,575,76838.0577296127,72256.0340520585,628,83907.508527584,78308.8064501954,91.56
"18","Czechia",1985,1989,"1","1","Charadrius dubius",869,769.68152866242,213.879013301572,5.56058124026241e-12,6.79119092983979,0.275120419217672,0.1192210024371,4.28415225099461e-09,361,48252.174347948,46375.3385962457,628,83907.508527584,78308.8064501954,57.48
"19","Czechia",1985,1989,"1","1","Phoenicurus ochruros",NA,NA,NA,NA,NA,NA,NA,NA,628,83907.508527584,78308.8064501954,628,83907.508527584,78308.8064501954,100
"20","Czechia",1985,1989,"1","1","Curruca curruca",2260,2243.66074421723,17.7365253530443,5.22929674504682e-05,3.87969870150282,0.0265247658811192,0.0329062306740878,0.0433681379658808,616,82293.549235413,76998.489003383,628,83907.508527584,78308.8064501954,98.09
"21","Czechia",1985,1989,"1","1","Certhia brachydactyla",1123,978.637389652475,210.188810268883,1.16945179352522e-23,9.95749117865364,0.354699288323157,0.188528787058199,6.43222635851777e-20,407,54380.503789724,52380.5231975829,628,83907.508527584,78308.8064501954,64.81
"22","Czechia",1985,1989,"1","1","Alcedo atthis",1042,935.782545535814,212.071154233417,1.50643056977202e-13,7.29382080176368,0.266878026291925,0.139074851483088,1.01341121958522e-11,398,53216.1430257141,50837.9563223282,628,83907.508527584,78308.8064501954,63.38
"23","Czechia",1985,1989,"1","1","Lophophanes cristatus",1783,1691.9845792826,122.752383769024,1.06208521440187e-16,8.21485710959531,0.170122281714764,0.257070981140924,2.06110580595845e-35,535,71457.7678481179,67276.9708542905,628,83907.508527584,78308.8064501954,85.19
"24","Czechia",1985,1989,"1","1","Motacilla alba",2319,2317.15834171416,2.98350173979998,0.143162612633916,1.06621773860725,0.00294194614351806,-0.00289061311425529,0.534702518146966,626,83644.4251618037,78140.5999465441,628,83907.508527584,78308.8064501954,99.68
"25","Czechia",1985,1989,"1","1","Lanius collurio",2291,2280.2614817298,10.3955329833552,0.000433313029890084,3.33058851421019,0.0172922999520093,-0.0102733686067019,0.672043678673831,621,82974.3486482381,77636.6193704446,628,83907.508527584,78308.8064501954,98.89
"26","Czechia",1985,1989,"1","1","Ficedula albicollis",723,534.79718404291,197.722604052338,3.73133773975804e-41,13.3843706958146,0.625258524774386,0.290182874230696,3.06810269331476e-44,301,40301.8713330919,38447.8675979411,628,83907.508527584,78308.8064501954,47.93
"27","Czechia",1985,1989,"1","1","Falco tinnunculus",2257,2236.37613141133,19.1957347011194,1.25537126110742e-06,4.70725541018271,0.0335347456726329,0.00331948539265613,0.403950351664198,615,82166.5604847403,77020.0014064105,628,83907.508527584,78308.8064501954,97.93
"28","Czechia",1985,1989,"1","1","Ardea cinerea",444,371.633702089619,168.901332268695,1.28644896623249e-08,5.56826400550486,0.28831194386606,0.112998479745286,2.37118884904598e-08,251,33597.7524642659,32035.5139683148,628,83907.508527584,78308.8064501954,39.97
"29","Czechia",1985,1989,"1","1","Acrocephalus palustris",1779,1736.59246843223,114.939611433074,3.81775647122308e-05,3.95556141383003,0.0782426781693228,0.0874077490774908,1.04113874677378e-05,542,72444.8406020999,67930.7965840483,628,83907.508527584,78308.8064501954,86.31
"30","Czechia",1985,1989,"1","1","Asio otus",1563,1465.84177003017,159.217304579914,6.80922764399102e-15,7.69988892920863,0.195096847328974,0.12572892301808,6.13352182735373e-10,498,66550.1953967013,63436.2342079626,628,83907.508527584,78308.8064501954,79.3
"31","Czechia",1985,1989,"1","1","Buteo buteo",2327,2324.57324840764,1.49304231442511,0.0235141178877156,1.98604582576723,0.00387041721268977,-0.00131958684590263,0.0780936852409919,627,83775.5539576501,78178.5705237844,628,83907.508527584,78308.8064501954,99.84
"32","Czechia",1985,1989,"1","1","Aegithalos caudatus",1959,1920.82802547771,81.0684274304658,1.11989074005696e-05,4.23954013460315,0.0669683763548994,0.00317129029470227,0.409610709266552,570,76161.0406773722,71838.9834727693,628,83907.508527584,78308.8064501954,90.76
"33","Czechia",1985,1989,"1","1","Anthus trivialis",2200,2192.91719745223,27.8845961131155,0.0899130228730445,1.34129083047235,0.0116302176482281,0.0164541073537703,0.189038303615941,609,81375.0125339691,75975.5176129839,628,83907.508527584,78308.8064501954,96.97
"34","Czechia",1985,1989,"1","1","Accipiter gentilis",1997,1968.33791485082,71.994834008161,0.000365101537138905,3.37798031568129,0.0496743243486635,0.0472634461063455,0.00949725978435079,577,77122.3816667132,72264.2508272563,628,83907.508527584,78308.8064501954,91.88
"35","Czechia",1985,1989,"1","1","Aythya ferina",1109,889.291317465639,213.494635724695,2.10903593044961e-51,15.03674158468,0.566259491067942,0.319333220831288,4.19281166461446e-53,388,51874.604061214,49998.5023675118,628,83907.508527584,78308.8064501954,61.78
"36","Czechia",1985,1989,"1","1","Anthus pratensis",800,615.970276008493,206.220620640961,6.74839129265235e-38,12.8150979496824,0.569751467465968,0.342272967858412,1.24106003699239e-60,323,43145.8752662183,40143.4301849578,628,83907.508527584,78308.8064501954,51.43
"37","Czechia",1985,1989,"1","1","Acrocephalus scirpaceus",1286,1112.95854285395,201.101455233758,1.51038450756823e-34,12.2023241282469,0.398713034898733,0.248031831621907,5.89192736274361e-33,434,57987.2558985152,55801.1524675927,628,83907.508527584,78308.8064501954,69.11
"38","Czechia",1985,1989,"1","1","Accipiter nisus",1960,1934.34305508995,78.4991649505682,0.00189081168157322,2.89582573436743,0.0448547987937866,0.0235847485847486,0.113565930322626,572,76442.6679247638,71868.4736592199,628,83907.508527584,78308.8064501954,91.08
"39","Czechia",1985,1989,"1","1","Aythya fuligula",1350,1149.19208850151,197.902657636441,1.58210780704085e-46,14.2743061168049,0.455346738091817,0.297370044698976,2.12992922547655e-46,441,58944.9199319122,56901.4900610651,628,83907.508527584,78308.8064501954,70.22
"40","Czechia",1985,1989,"1","1","Apus apus",2169,2157.02715387194,35.0339230084792,0.0215468689042474,2.02280032849981,0.0198225929272495,-0.00422776726584674,0.550863308783834,604,80692.9590531527,75606.6820554625,628,83907.508527584,78308.8064501954,96.18
"41","Czechia",1985,1989,"1","1","Anas platyrhynchos",2131,2093.17130405632,47.6768386941403,2.14381911102282e-08,5.47857542138386,0.0635776402414807,0.178804915905756,1.54360265324542e-18,595,79503.3055729723,74904.3184723051,628,83907.508527584,78308.8064501954,94.75
"42","Czechia",1985,1989,"1","1","Ciconia nigra",998,898.494803888703,213.265947472421,4.75496361635497e-12,6.81373127820084,0.255141528490506,0.197244744051467,1.32230236654201e-21,390,52175.0278774684,48681.6808201127,628,83907.508527584,78308.8064501954,62.1
"43","Czechia",1985,1989,"1","1","Carduelis carduelis",2273,2258.26550452565,14.8089921390638,6.43621165870606e-05,3.82888672661746,0.0238422256866584,-0.0147961935583295,0.74583514180359,618,82574.9219459481,77328.6464036945,628,83907.508527584,78308.8064501954,98.41
"44","Czechia",1985,1989,"1","1","Passer montanus",2194,2164.18147279026,33.6109697660431,1.34944574686441e-07,5.14334513038588,0.0492868218342877,0.0977573875399962,6.86961398908504e-07,605,80845.0950237119,76027.4969701255,628,83907.508527584,78308.8064501954,96.34
"45","Czechia",1985,1989,"1","1","Sylvia borin",1979,1941.11833724438,77.2075112285092,8.118151971778e-06,4.31121078257906,0.0661111042855413,0.119564266449083,3.07667227278617e-09,573,76528.0718582682,71761.8821886413,628,83907.508527584,78308.8064501954,91.24
"46","Czechia",1985,1989,"1","1","Ficedula parva",191,128.848809922896,84.1012357611544,6.12771179437673e-12,6.77716813724806,0.419940473493943,0.151435810810811,1.43406163339712e-13,148,19765.587783533,18277.5572993138,628,83907.508527584,78308.8064501954,23.57
"47","Czechia",1985,1989,"1","1","Gallinago gallinago",706,556.366744887697,200.317760073289,2.00330631937218e-26,10.5722736552475,0.487404739779489,0.247526947499549,8.49283848784899e-33,307,41031.6328415867,38868.9352442736,628,83907.508527584,78308.8064501954,48.89
"48","Czechia",1985,1989,"1","1","Pyrrhula pyrrhula",1934,1867.24170298357,91.1535876062699,1.35234111971406e-12,6.99227284166354,0.118787005367307,0.248965121474018,1.7306791218059e-33,562,75054.7992987499,70251.7539185774,628,83907.508527584,78308.8064501954,89.49
